EDULIT_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BTN,Bhutan,2012,2012,17.29586,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BTN,Bhutan,2013,2013,18.96746,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BTN,Bhutan,2015,2015,18.02459,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BTN,Bhutan,2016,2016,19.01342,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BTN,Bhutan,2017,2017,19.11018,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CRI,Costa Rica,2012,2012,6.42133,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CRI,Costa Rica,2013,2013,6.38818,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CRI,Costa Rica,2014,2014,6.93255,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CRI,Costa Rica,2015,2015,6.09081,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CRI,Costa Rica,2016,2016,5.32298,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",KAZ,Kazakhstan,2012,2012,0.65943,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",KAZ,Kazakhstan,2013,2013,0.90447,‡,UIS Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",BLR,Belarus,2012,2012,4.71004,‡,UIS Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",BLR,Belarus,2013,2013,3.88196,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",BLR,Belarus,2014,2014,3.32775,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",BLR,Belarus,2015,2015,1.81387,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",BLR,Belarus,2016,2016,1.36021,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",BLR,Belarus,2017,2017,2.16664,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SYR,Syrian Arab Republic,2012,2012,15.90799,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SYR,Syrian Arab Republic,2013,2013,44.4869,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BRB,Barbados,2014,2014,5.61954,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BRB,Barbados,2015,2015,4.64719,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BRB,Barbados,2016,2016,5.32674,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BRB,Barbados,2017,2017,6.49121,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",KWT,Kuwait,2012,2012,9.34026,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",KWT,Kuwait,2013,2013,11.09726,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",KWT,Kuwait,2014,2014,11.84763,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",KWT,Kuwait,2015,2015,9.63973,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2012,2012,10.29371,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2013,2013,9.92401,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2014,2014,11.2872,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2015,2015,12.27239,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2016,2016,14.84544,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2017,2017,17.27551,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",KOR,Republic of Korea,2012,2012,2.34133,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",KOR,Republic of Korea,2013,2013,3.31453,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",KOR,Republic of Korea,2014,2014,3.01042,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",KOR,Republic of Korea,2015,2015,1.65166,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",KOR,Republic of Korea,2016,2016,2.91483,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SVN,Slovenia,2012,2012,3.53904,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SVN,Slovenia,2013,2013,3.17299,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SVN,Slovenia,2014,2014,3.48603,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SVN,Slovenia,2015,2015,2.51988,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SVN,Slovenia,2016,2016,3.18837,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LUX,Luxembourg,2012,2012,9.06045,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LUX,Luxembourg,2013,2013,9.71687,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LUX,Luxembourg,2014,2014,9.8502,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LUX,Luxembourg,2015,2015,9.53561,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LUX,Luxembourg,2016,2016,8.41171,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",VEN,Venezuela (Bolivarian Republic of),2012,2012,11.05124,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",VEN,Venezuela (Bolivarian Republic of),2013,2013,10.78499,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",VEN,Venezuela (Bolivarian Republic of),2014,2014,12.36501,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",VEN,Venezuela (Bolivarian Republic of),2015,2015,12.71614,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",VEN,Venezuela (Bolivarian Republic of),2016,2016,15.31809,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",VEN,Venezuela (Bolivarian Republic of),2017,2017,18.08411,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",KWT,Kuwait,2012,2012,7.93862,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",KWT,Kuwait,2013,2013,9.19498,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",KWT,Kuwait,2014,2014,9.58174,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",KWT,Kuwait,2015,2015,7.45045,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SUR,Suriname,2012,2012,22.78594,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SUR,Suriname,2013,2013,22.26712,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SUR,Suriname,2014,2014,21.24658,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",SUR,Suriname,2015,2015,18.67987,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",PHL,Philippines,2014,2014,7.23155,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",PHL,Philippines,2015,2015,7.436,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BLZ,Belize,2012,2012,9.78361,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BLZ,Belize,2013,2013,10.21378,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BLZ,Belize,2014,2014,10.49129,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BLZ,Belize,2015,2015,10.4667,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BLZ,Belize,2016,2016,9.17058,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BLZ,Belize,2017,2017,10.20672,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",KAZ,Kazakhstan,2012,2012,1.17524,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",KAZ,Kazakhstan,2013,2013,1.61433,‡,UIS Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",BHS,Bahamas,2016,2016,11.16059,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",MAR,Morocco,2012,2012,17.70534,‡,UIS Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",MAR,Morocco,2017,2017,11.4665,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NZL,New Zealand,2013,2013,3.96891,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NZL,New Zealand,2014,2014,4.01667,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NZL,New Zealand,2015,2015,3.55404,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NZL,New Zealand,2016,2016,2.8107,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NZL,New Zealand,2017,2017,2.02307,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",POL,Poland,2012,2012,7.09866,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",POL,Poland,2013,2013,6.27933,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",POL,Poland,2014,2014,6.2969,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",POL,Poland,2015,2015,5.5804,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",POL,Poland,2016,2016,5.10942,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",TLS,Timor-Leste,2012,2012,20.029,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",TLS,Timor-Leste,2013,2013,20.5583,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",TLS,Timor-Leste,2014,2014,19.7834,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",TLS,Timor-Leste,2015,2015,19.20844,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",TLS,Timor-Leste,2016,2016,18.87698,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",TLS,Timor-Leste,2017,2017,18.3034,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",MAR,Morocco,2012,2012,14.93241,‡,UIS Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",MAR,Morocco,2017,2017,9.94016,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CHE,Switzerland,2012,2012,8.89498,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CHE,Switzerland,2013,2013,7.47488,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CHE,Switzerland,2014,2014,6.92011,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CHE,Switzerland,2015,2015,6.44293,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CHE,Switzerland,2016,2016,6.05624,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",CUB,Cuba,2012,2012,5.84911,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",CUB,Cuba,2013,2013,5.80696,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",CUB,Cuba,2014,2014,7.47146,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",CUB,Cuba,2015,2015,8.98983,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",CUB,Cuba,2016,2016,8.79985,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",CUB,Cuba,2017,2017,7.74827,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",GIN,Guinea,2014,2014,45.14988,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",SWZ,Eswatini,2012,2012,22.47057,‡,UIS Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",SWZ,Eswatini,2013,2013,23.48094,‡,UIS Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",SWZ,Eswatini,2014,2014,22.58456,‡,UIS Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",SWZ,Eswatini,2015,2015,22.40141,‡,UIS Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LAO,Lao People's Democratic Republic,2012,2012,26.88294,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LAO,Lao People's Democratic Republic,2013,2013,24.51229,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LAO,Lao People's Democratic Republic,2014,2014,21.45998,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LAO,Lao People's Democratic Republic,2015,2015,20.279,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LAO,Lao People's Democratic Republic,2016,2016,20.08096,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LAO,Lao People's Democratic Republic,2017,2017,20.36477,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",GTM,Guatemala,2012,2012,24.24649,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",GTM,Guatemala,2013,2013,25.68809,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",GTM,Guatemala,2014,2014,27.02268,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",GTM,Guatemala,2015,2015,27.36803,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",GTM,Guatemala,2016,2016,28.39774,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",GTM,Guatemala,2017,2017,28.57562,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LIE,Liechtenstein,2012,2012,7.53327,+,National Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LIE,Liechtenstein,2014,2014,9.50984,+,National Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LIE,Liechtenstein,2015,2015,9.63145,+,National Estimation
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",LIE,Liechtenstein,2016,2016,10.11488,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",AUS,Australia,2015,2015,1.78733,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",AUS,Australia,2016,2016,2.0618,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",AUS,Australia,2017,2017,2.39722,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CUB,Cuba,2012,2012,5.45153,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CUB,Cuba,2013,2013,5.42885,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CUB,Cuba,2014,2014,6.73049,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CUB,Cuba,2015,2015,8.10147,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CUB,Cuba,2016,2016,7.93422,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",CUB,Cuba,2017,2017,6.62612,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",USA,United States of America,2012,2012,5.39519,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",USA,United States of America,2013,2013,5.38668,‡,UIS Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",USA,United States of America,2014,2014,5.16787,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",USA,United States of America,2015,2015,4.42735,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",USA,United States of America,2016,2016,3.44222,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",BRN,Brunei Darussalam,2012,2012,4.54571,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",BRN,Brunei Darussalam,2013,2013,5.86065,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",BRN,Brunei Darussalam,2014,2014,8.32552,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",BRN,Brunei Darussalam,2015,2015,10.25735,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",BRN,Brunei Darussalam,2016,2016,10.12053,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",BRN,Brunei Darussalam,2017,2017,9.72979,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LVA,Latvia,2012,2012,4.33578,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LVA,Latvia,2013,2013,3.37728,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LVA,Latvia,2014,2014,3.77375,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LVA,Latvia,2015,2015,3.93828,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LVA,Latvia,2016,2016,3.63167,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",LVA,Latvia,2017,2017,3.45672,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NER,Niger,2014,2014,51.97701,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NER,Niger,2015,2015,50.23595,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",NER,Niger,2017,2017,47.21035,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",PRI,Puerto Rico,2012,2012,22.70462,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",PRI,Puerto Rico,2013,2013,21.33554,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",PRI,Puerto Rico,2014,2014,21.16125,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",PRI,Puerto Rico,2015,2015,23.14592,,
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",PRI,Puerto Rico,2016,2016,28.47104,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",STP,Sao Tome and Principe,2013,2013,14.50961,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",STP,Sao Tome and Principe,2014,2014,13.38585,,
ROFST_1T3_F_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, female (%)",STP,Sao Tome and Principe,2015,2015,10.60989,‡,UIS Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",LVA,Latvia,2012,2012,3.91918,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",LVA,Latvia,2013,2013,2.94494,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",LVA,Latvia,2014,2014,3.32577,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",LVA,Latvia,2015,2015,3.45377,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",LVA,Latvia,2016,2016,3.04653,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",LVA,Latvia,2017,2017,2.83345,+,National Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",PRT,Portugal,2013,2013,1.60552,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",PRT,Portugal,2014,2014,1.58408,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",PRT,Portugal,2015,2015,1.94613,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",PRT,Portugal,2016,2016,2.35545,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",MWI,Malawi,2013,2013,17.93438,‡,UIS Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",MWI,Malawi,2014,2014,16.89341,,
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",MWI,Malawi,2015,2015,16.98783,‡,UIS Estimation
ROFST_1T3_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)",MWI,Malawi,2016,2016,17.53412,‡,UIS Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",COK,Cook Islands,2012,2012,5.9073,+,National Estimation
ROFST_1T3_M_CP,"Rate of out-of-school children, adolescents and youth of primary and secondary school age, male (%)",COK,Cook Islands,2013,2013,11.01188,+,National Estimation
