EDULIT_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",ALB,Albania,2012,2012,9.14427,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",ALB,Albania,2013,2013,5.23109,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",ALB,Albania,2014,2014,3.62849,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",ALB,Albania,2015,2015,3.726,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",ALB,Albania,2016,2016,3.79991,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",ALB,Albania,2017,2017,2.38042,,
ROFSPPT_1_F_CP,"Rate of out-of-school children of primary school age in pre-primary education, female (%)",VAT,Holy See,2012,2012,,a,Category not applicable
ROFSPPT_1_F_CP,"Rate of out-of-school children of primary school age in pre-primary education, female (%)",VAT,Holy See,2013,2013,,a,Category not applicable
ROFSPPT_1_F_CP,"Rate of out-of-school children of primary school age in pre-primary education, female (%)",VAT,Holy See,2014,2014,,a,Category not applicable
ROFSPPT_1_F_CP,"Rate of out-of-school children of primary school age in pre-primary education, female (%)",VAT,Holy See,2015,2015,,a,Category not applicable
ROFSPPT_1_F_CP,"Rate of out-of-school children of primary school age in pre-primary education, female (%)",VAT,Holy See,2016,2016,,a,Category not applicable
ROFSPPT_1_F_CP,"Rate of out-of-school children of primary school age in pre-primary education, female (%)",VAT,Holy See,2017,2017,,a,Category not applicable
ROFSPPT_1_F_CP,"Rate of out-of-school children of primary school age in pre-primary education, female (%)",VAT,Holy See,2018,2018,,a,Category not applicable
ROFST_1_CP,"Rate of out-of-school children of primary school age, both sexes (%)",NOR,Norway,2012,2012,0.31085,,
ROFST_1_CP,"Rate of out-of-school children of primary school age, both sexes (%)",NOR,Norway,2013,2013,0.14327,,
ROFST_1_CP,"Rate of out-of-school children of primary school age, both sexes (%)",NOR,Norway,2014,2014,0.16853,,
ROFST_1_CP,"Rate of out-of-school children of primary school age, both sexes (%)",NOR,Norway,2015,2015,0.23411,,
ROFST_1_CP,"Rate of out-of-school children of primary school age, both sexes (%)",NOR,Norway,2016,2016,0.1938,,
ROFST_1_CP,"Rate of out-of-school children of primary school age, both sexes (%)",NOR,Norway,2017,2017,0.12216,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",CUB,Cuba,2012,2012,0.46299,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",CUB,Cuba,2013,2013,0.36332,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",CUB,Cuba,2014,2014,3.55169,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",CUB,Cuba,2015,2015,4.44814,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",CUB,Cuba,2016,2016,4.19279,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",CUB,Cuba,2017,2017,2.89016,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",BWA,Botswana,2012,2012,7.80543,,
ROFST_1_M_CP,"Rate of out-of-school children of primary school age, male (%)",BWA,Botswana,2013,2013,6.94048,,
