EDULIT_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",MEX,Mexico,2012,2012,27.4435,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",MEX,Mexico,2013,2013,24.32372,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",MEX,Mexico,2014,2014,22.83626,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",MEX,Mexico,2015,2015,21.21791,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",MEX,Mexico,2016,2016,20.53952,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",MEX,Mexico,2017,2017,20.96818,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",LKA,Sri Lanka,2017,2017,11.10529,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",LBN,Lebanon,2012,2012,28.84823,‡,UIS Estimation
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",PRY,Paraguay,2012,2012,17.9035,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",GHA,Ghana,2013,2013,22.38942,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",GHA,Ghana,2014,2014,27.56482,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",GHA,Ghana,2015,2015,22.22257,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",GHA,Ghana,2016,2016,23.74504,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",GHA,Ghana,2017,2017,23.79403,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",GHA,Ghana,2018,2018,23.24497,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",CRI,Costa Rica,2012,2012,13.30212,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",CRI,Costa Rica,2013,2013,12.47638,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",CRI,Costa Rica,2014,2014,11.32079,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",CRI,Costa Rica,2015,2015,9.60139,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",CRI,Costa Rica,2016,2016,8.42679,,
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",PRK,Democratic People's Republic of Korea,2015,2015,9.35676,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",QAT,Qatar,2012,2012,31.67621,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",QAT,Qatar,2013,2013,39.65809,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",QAT,Qatar,2014,2014,35.80064,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",QAT,Qatar,2015,2015,27.96479,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",QAT,Qatar,2016,2016,21.25159,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",QAT,Qatar,2017,2017,28.90504,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",BOL,Bolivia (Plurinational State of),2012,2012,14.8862,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",BOL,Bolivia (Plurinational State of),2013,2013,14.05104,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",BOL,Bolivia (Plurinational State of),2014,2014,14.2543,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",BOL,Bolivia (Plurinational State of),2015,2015,14.16756,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",BOL,Bolivia (Plurinational State of),2016,2016,14.62168,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",BOL,Bolivia (Plurinational State of),2017,2017,16.04013,,
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",COK,Cook Islands,2012,2012,9.04018,+,National Estimation
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",COK,Cook Islands,2013,2013,9.96678,+,National Estimation
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",COK,Cook Islands,2014,2014,12.8149,+,National Estimation
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",COK,Cook Islands,2015,2015,8.86486,‡,UIS Estimation
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",COK,Cook Islands,2016,2016,12.58286,+,National Estimation
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",KGZ,Kyrgyzstan,2014,2014,14.89712,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",KGZ,Kyrgyzstan,2015,2015,12.53072,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",KGZ,Kyrgyzstan,2016,2016,9.1261,,
ROFST_2T3_CP,"Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)",KGZ,Kyrgyzstan,2017,2017,8.37345,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",NOR,Norway,2012,2012,6.14258,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",NOR,Norway,2013,2013,5.10056,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",NOR,Norway,2014,2014,4.7852,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",NOR,Norway,2015,2015,4.88657,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",NOR,Norway,2016,2016,4.6353,,
ROFST_2T3_M_CP,"Rate of out-of-school adolescents and youth of secondary school age, male (%)",NOR,Norway,2017,2017,4.31699,,
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",MDA,Republic of Moldova,2012,2012,19.98566,+,National Estimation
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",MDA,Republic of Moldova,2013,2013,20.81527,+,National Estimation
ROFST_2T3_F_CP,"Rate of out-of-school adolescents and youth of secondary school age, female (%)",MDA,Republic of Moldova,2014,2014,21.5888,+,National Estimation
