,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
0,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG
1,Åland Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,ALA
2,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,ALB
3,Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.79161,28.02804,..,..,..,..,..,..,..,..,..,..,..,12.08791,12.2764,11.52811,12.12469,9.96525,..,DZA
4,American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.86981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,ASM
5,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,AND
6,Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,AGO
7,Anguilla,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.65322,59.49558,58.50847,..,..,..,..,..,..,..,..,AIA
8,Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,ATG
9,Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.82827,6.41072,..,10.68215,..,17.8538,20.78044,..,23.50154,..,ARG
10,Armenia,..,..,..,..,44.80271,42.91875,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.63703,10.641,9.30792,7.74333,7.44978,7.45992,7.64199,7.75711,6.4489,5.93905,4.10514,5.04998,4.38616,3.37278,2.70915,2.87453,3.18266,2.86846,2.95647,..,..,ARM
11,Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.02476,..,5.45172,5.67469,7.68316,..,..,..,..,..,..,..,ABW
12,Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47065,5.50314,8.8855,2.92963,8.50029,9.76932,9.7152,..,3.46354,6.92732,6.63319,..,..,..,..,..,..,..,..,..,AUS
13,Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.67538,5.42939,5.5202,4.23938,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.10739,0.36862,1.20217,..,AUT
14,Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.40145,4.28323,..,4.76472,4.55335,6.45025,3.39715,2.64523,4.64413,4.92236,5.22582,6.1735,6.11723,6.59099,6.05192,5.65823,5.13567,4.31827,3.96101,..,AZE
