,ISO Code,2017.5
1,AFG,67.9
4,ALB,8.8
7,DZA,24.0
10,AND,3.3
13,AGO,81.1
16,ATG,7.4
19,ARG,10.4
22,ARM,12.6
25,AUS,3.5
28,AUT,3.6
31,AZE,23.0
34,BHS,7.2
37,BHR,7.3
40,BGD,32.4
43,BRB,12.4
46,BLR,3.7
49,BEL,3.8
52,BLZ,14.2
55,BEN,98.3
58,BTN,30.8
61,BOL,34.9
64,BIH,5.7
67,BWA,37.6
70,BRA,14.8
73,BRN,10.5
76,BGR,7.5
79,BFA,81.2
82,BDI,61.2
85,CIV,88.8
88,CPV,17.4
91,KHM,29.2
94,CMR,84.0
97,CAN,5.1
100,CAF,121.5
103,TCD,123.2
106,CHL,7.4
109,CHN,9.3
112,COL,14.7
115,COM,69.0
118,COG,47.5
121,COK,7.6
124,CRI,9.0
127,HRV,4.6
130,CUB,5.4
133,CYP,2.7
136,CZE,3.3
139,PRK,19.0
142,COD,91.1
145,DNK,4.3
148,DJI,61.7
151,DMA,34.0
154,DOM,29.9
157,ECU,14.5
160,EGY,22.1
163,SLV,14.5
166,GNQ,89.6
169,ERI,43.1
172,EST,2.7
175,SWZ,53.9
178,ETH,58.5
181,FJI,25.3
184,FIN,2.3
187,FRA,4.2
190,GAB,48.3
193,GMB,63.6
196,GEO,10.8
199,DEU,3.7
202,GHA,49.3
205,GRC,5.3
208,GRD,16.7
211,GTM,27.6
214,GIN,85.7
217,GNB,84.2
220,GUY,31.3
223,HTI,71.7
226,HND,18.2
229,HUN,4.5
232,ISL,2.1
235,IND,39.4
238,IDN,25.4
241,IRN,14.9
244,IRQ,30.4
247,IRL,3.5
250,ISR,3.6
253,ITA,3.4
256,JAM,15.2
259,JPN,2.6
262,JOR,17.0
265,KAZ,10.0
268,KEN,45.6
271,KIR,54.6
274,KWT,8.1
277,KGZ,20.0
280,LAO,63.4
283,LVA,4.2
286,LBN,7.8
289,LSO,85.9
292,LBR,74.7
295,LBY,12.4
298,LIE,
301,LTU,4.3
304,LUX,2.6
307,MDG,44.2
310,MWI,55.4
313,MYS,7.9
316,MDV,7.9
319,MLI,106.0
322,MLT,6.4
325,MHL,34.0
328,MRT,79.0
331,MUS,13.1
334,MEX,13.4
337,FSM,32.2
340,MCO,3.3
343,MNG,17.2
346,MNE,3.5
349,MAR,23.3
352,MOZ,72.4
355,MMR,48.6
358,NAM,44.2
361,NRU,33.0
364,NPL,33.7
367,NLD,3.9
370,NZL,5.3
373,NIC,17.2
376,NER,84.5
379,NGA,100.2
382,NIU,21.5
385,NOR,2.6
388,OMN,11.3
391,PAK,74.9
394,PLW,15.3
397,PAN,16.1
400,PNG,53.4
403,PRY,21.0
406,PER,15.0
409,PHL,28.1
412,POL,4.7
415,PRT,3.7
418,QAT,7.6
421,KOR,3.3
424,MDA,15.5
427,ROU,7.8
430,RUS,7.6
433,RWA,37.9
436,KNA,13.7
439,LCA,16.6
442,VCT,16.2
445,WSM,16.5
448,SMR,2.2
451,STP,32.4
454,SAU,7.4
457,SEN,45.4
460,SRB,5.7
463,SYC,14.2
466,SLE,110.5
469,SGP,2.8
472,SVK,5.6
475,SVN,2.1
478,SLB,20.6
481,SOM,127.2
484,ZAF,37.1
487,SSD,96.4
490,ESP,3.1
493,LKA,8.8
496,PSE,20.9
499,SDN,63.2
502,SUR,19.6
505,SWE,2.8
508,CHE,4.2
511,SYR,17.0
514,TJK,33.6
517,THA,9.5
520,MKD,13.7
523,TLS,47.6
526,TGO,72.9
529,TON,16.0
532,TTO,26.1
535,TUN,13.0
538,TUR,11.6
541,TKM,47.3
544,TUV,24.9
547,UGA,49.0
550,UKR,8.8
553,ARE,9.1
556,GBR,4.3
559,TZA,54.0
562,USA,6.6
565,URY,8.2
568,UZB,22.5
571,VUT,26.9
574,VEN,30.9
577,VNM,20.9
580,YEM,55.4
583,ZMB,60.0
586,ZWE,50.3
