,Year,Sub-Saharan Africa,Middle East and North Africa,South Asia,East Asia and Pacific,Latin America and Caribbean,North America,Europe and Central Asia,World
0,1990,3888742,556719,4732653,2322208,646505,47239,387738,12581804
1,1991,3937253,529888,4616893,2223437,618393,46049,371190,12343103
2,1992,3986620,503107,4501408,2101127,590179,44655,355775,12082871
3,1993,4038280,476857,4387427,1965681,562116,43147,340033,11813541
4,1994,4114586,451159,4272497,1829262,534465,41597,323253,11566819
5,1995,4135679,426474,4155381,1698678,507178,40108,305595,11269093
6,1996,4145950,403473,4035431,1580853,480424,38756,287616,10972503
7,1997,4169133,382142,3911706,1475305,454347,37595,269826,10700054
8,1998,4175437,362628,3784813,1379902,433874,36668,252517,10425839
9,1999,4150162,344985,3656159,1293338,407991,35959,236088,10124682
10,2000,4115751,329294,3526237,1213518,382112,35460,220899,9823271
11,2001,4063493,315509,3396375,1139107,360330,35153,207135,9517102
12,2002,3998001,303417,3268962,1069862,339856,34981,194937,9210016
13,2003,3923231,292950,3144333,1005645,320786,34902,184224,8906071
14,2004,3842121,283842,3027607,974860,303147,34854,174909,8641340
15,2005,3757501,275910,2902044,893150,286996,34735,166725,8317061
16,2006,3672730,269136,2781905,844876,272466,34485,159544,8035142
17,2007,3584552,263362,2661234,801355,259516,34060,153111,7757190
18,2008,3494948,258531,2538969,784154,248083,33464,147207,7505356
19,2009,3404377,254799,2417168,724663,237970,32726,141788,7213491
20,2010,3319854,252137,2296358,689752,265618,31928,136631,6992278
21,2011,3229552,250632,2178035,656994,220795,31132,131583,6698723
22,2012,3142973,249305,2063624,625031,213806,30411,126404,6451554
23,2013,3064446,246508,1954833,594558,207488,29839,121063,6218735
24,2014,2993301,242720,1853129,565820,201827,29426,115451,6001674
25,2015,2922898,237775,1757907,538442,196712,29169,109606,5792509
26,2016,2856939,232239,1670696,511973,195420,28999,103797,5600063
27,2017,2796764,225754,1592198,487120,187964,28861,98243,5416904
