,Both,CountryCode,Secondary,Primary,Country,Mortality
0,..,AFG,,..,Afghanistan,67.9
1,..,ALA,..,..,,
2,7.72707,ALB,..,3.54685,Albania,8.8
3,..,DZA,9.96525,..,Algeria,24.0
4,..,ASM,..,..,,
5,..,AND,..,..,Andorra,3.3
6,..,AGO,..,..,Angola,81.1
7,..,AIA,..,..,,
8,19.99191,ATG,..,17.37595,Antigua and Barbuda,7.4
9,..,ARG,23.50154,..,Argentina,10.4
10,..,ARM,..,7.65189,Armenia,12.6
11,..,ABW,..,..,,
12,2.10905,AUS,..,2.835,Australia,3.5
13,..,AUT,1.20217,..,Austria,3.6
14,..,AZE,3.96101,5.02217,Azerbaijan,23.0
15,..,BHS,..,..,Bahamas,7.2
16,1.89944,BHR,..,1.27283,Bahrain,7.3
17,13.71993,BGD,2.65011,1.71894,Bangladesh,32.4
18,5.23404,BRB,21.91579,9.48555,Barbados,12.4
19,2.16664,BLR,0.24908,4.17454,Belarus,3.7
20,..,BEL,0.83413,..,Belgium,3.8
21,10.27449,BLZ,..,1.10702,Belize,14.2
22,..,BEN,18.98195,..,Benin,98.3
23,..,BMU,..,..,,
24,16.52545,BTN,..,17.41901,Bhutan,30.8
25,12.23217,BOL,15.48921,8.02437,Bolivia (Plurinational State of),34.9
26,..,BIH,16.55818,..,Bosnia and Herzegovina,5.7
27,..,BWA,..,..,Botswana,37.6
28,..,BRA,..,..,Brazil,14.8
29,..,VGB,..,..,,
30,8.43302,BRN,..,3.78184,Brunei Darussalam,10.5
31,..,BGR,12.09012,..,Bulgaria,7.5
32,38.72882,BFA,..,23.92632,Burkina Faso,81.2
33,19.44688,BDI,54.51472,1.73171,Burundi,61.2
34,..,KHM,41.83737,9.65321,Cambodia,29.2
35,..,CMR,..,9.05306,Cameroon,84.0
36,..,CAN,..,..,Canada,5.1
37,20.30752,CPV,..,14.49037,Cabo Verde,17.4
38,..,CYM,25.99019,..,,
39,..,CAF,..,..,Central African Republic,121.5
40,..,TCD,..,..,Chad,123.2
41,..,,..,..,,
42,..,,..,15.08671,,
43,..,,..,..,,
44,..,,..,..,,
45,..,,..,6.27012,,
46,..,,..,..,,
47,..,,..,..,,
48,..,,..,..,,
49,..,,..,..,,
50,..,,..,..,,
51,..,,..,9.81407,,
52,..,,..,20.36703,,
53,..,,..,20.46128,,
54,..,,..,11.21139,,
55,..,,..,23.00016,,
56,..,,..,11.18052,,
57,..,,..,10.00761,,
58,..,,..,12.35377,,
59,..,,..,6.72871,,
60,..,,..,2.9226,,
61,..,,..,6.83978,,
62,..,,..,4.20922,,
63,..,,..,3.02331,,
64,..,,..,6.13284,,
65,..,,..,4.15171,,
66,..,,..,9.71081,,
67,..,,..,2.55844,,
68,..,,..,22.1755,,
69,..,,..,2.89136,,
70,..,,..,2.15194,,
71,..,,..,3.94069,,
72,..,,..,..,,
73,..,,..,9.81407,,
74,..,,..,12.28954,,
75,..,,..,4.39052,,
76,..,,..,3.07241,,
77,..,,..,4.34201,,
78,..,,..,4.15255,,
79,..,,..,2.61416,,
80,..,,..,6.83978,,
81,..,,..,22.99368,,
82,..,,..,11.03201,,
83,..,,..,..,,
84,..,,..,22.26003,,
85,..,,..,10.66408,,
86,..,,..,8.01748,,
87,..,,..,3.71165,,
88,..,,..,2.75513,,
89,..,,..,,,
90,..,,..,,,
91,..,,..,,,
92,..,,..,,,
93,..,,..,,,
94,..,,..,,,
95,..,,..,..,,
96,..,,..,15.08671,,
97,..,,..,..,,
98,..,,..,..,,
