,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
0,Afghanistan,..,..,..,..,91.43496,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.61157,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,AFG
1,Åland Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,ALA
2,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.09346,4.82476,5.83909,..,8.17517,8.41979,..,..,..,13.04022,14.75632,13.95329,12.96625,9.96146,6.07421,4.07291,5.14338,4.93107,3.54685,..,ALB
3,Algeria,..,..,..,44.51525,41.15182,38.68985,36.48153,34.29159,32.60039,31.89609,30.56172,30.01099,30.03006,30.18315,28.92067,28.04716,26.31783,24.59072,23.16732,21.74211,20.91824,18.84119,17.29831,17.21998,16.6945,16.09447,16.02983,16.13802,..,12.2189,11.11084,8.91835,7.40542,6.73257,5.92711,5.62922,5.4689,5.09398,3.59747,..,..,..,..,..,..,..,1.56548,..,..,DZA
4,American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,ASM
5,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,AND
6,Angola,..,..,..,..,..,..,..,..,..,..,..,..,58.55649,62.22424,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.69841,..,..,..,..,..,..,..,..,..,30.61221,31.6887,32.28797,33.6125,..,..,..,..,..,..,..,AGO
7,Anguilla,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,AIA
8,Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.02339,15.15101,17.19381,21.778,22.24856,22.64376,..,23.33161,18.83478,..,17.37595,..,ATG
9,Argentina,4.03283,..,..,..,3.03365,3.25196,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.66444,..,..,..,..,..,..,..,0.20974,..,..,..,0.68376,1.40229,1.11486,0.85845,0.63767,0.83928,0.86126,1.62759,1.51888,1.48949,1.161,0.52952,0.43072,1.23071,..,..,ARG
10,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.26971,14.22189,..,10.30208,6.64804,1.60805,..,..,..,4.23833,3.10982,3.10777,5.6788,6.60315,7.40736,7.65189,..,ARM
