,Unnamed: 0,Both,CountryCode,Secondary,Primary,Country,Mortality
17,17,13.719929999999998,BGD,2.6501099999999997,1.7189400000000001,Bangladesh,32.4
18,18,5.23404,BRB,21.915789999999998,9.48555,Barbados,12.4
19,19,2.16664,BLR,0.24908000000000002,4.17454,Belarus,3.7
25,25,12.23217,BOL,15.48921,8.02437,Bolivia (Plurinational State of),34.9
33,33,19.44688,BDI,54.51472,1.7317099999999999,Burundi,61.2
102105,102105,7.3586800000000006,COL,7.920039999999999,5.90496,Colombia,14.7
102106,102106,28.00023,COM,8.51505,16.40568,Comoros,69.0
102123,102123,22.63816,SLV,15.76566,18.22823,El Salvador,14.5
102173,102173,20.36477,LAO,7.98946,7.1788300000000005,Lao People's Democratic Republic,63.4
102174,102174,2.18054,LVA,30.31043,2.17788,Latvia,4.2
102191,102191,6.62776,MUS,55.54458,2.72192,Mauritius,13.1
102215,102215,4.22952,OMN,4.30586,1.02755,Oman,11.3
102216,102216,46.09597,PAK,8.170060000000001,29.393040000000003,Pakistan,74.9
102244,102244,4.30745,SRB,52.18489,1.358,Serbia,5.7
102266,102266,26.782809999999998,TGO,18.97799,11.26805,Togo,72.9
